Date	Price	Open	High	Low	Vol	Change 	Nothing
2017/04/27	1333	1287	1347	1285	6177000	3.60	0
2017/04/26	1287	1264	1309	1263	5891000	1.77	0
2017/04/25	1264	1248	1273	1244	4389000	1.29	0
2017/04/24	1248	1249	1256	1235	3854000	-0.08	0
2017/04/23	1249	1241	1256	1223	4261000	0.66	0
2017/04/22	1241	1250	1257	1216	4382000	-0.70	0
2017/04/21	1250	1238	1257	1236	4134000	0.93	0
2017/04/20	1238	1215	1247	1211	5520000	1.88	0
2017/04/19	1215	1206	1218	1194	4335000	0.76	0
2017/04/18	1206	1194	1214	1191	5275000	1.01	0
2017/04/17	1194	1177	1203	1173	4648000	1.46	0
2017/04/16	1177	1177	1188	1167	1893000	-0.02	0
2017/04/15	1177	1177	1195	842	2839000	-0.03	0
2017/04/14	1177	1176	1195	1162	4722000	0.10	0
2017/04/13	1176	1213	1219	1150	6605000	-3.00	0
2017/04/12	1213	1221	1226	1207	4478000	-0.67	0
2017/04/11	1221	1207	1230	1196	3740000	1.16	0
2017/04/10	1207	1204	1215	1195	4001000	0.20	0
2017/04/09	1204	1181	1215	1174	4535000	2.00	0
2017/04/08	1181	1191	1198	1167	3318000	-0.82	0
2017/04/07	1191	1189	1201	1173	5975000	0.15	0
2017/04/06	1189	1130	1202	1131	9236000	5.21	0
2017/04/05	1130	1142	1144	1110	6947000	-1.04	0
2017/04/04	1142	1148	1161	1122	7100000	-0.50	0
2017/04/03	1148	1097	1158	1096	9850000	4.57	0
2017/04/02	1097	1086	1110	1074	7098000	1.04	0
2017/04/01	1086	1079	1104	1068	5066000	0.65	0
2017/03/31	1079	1038	1088	1035	9099000	3.97	0
2017/03/30	1038	1042	1053	1021	7499000	-0.38	0
2017/03/29	1042	1044	1059	1008	6885000	-0.24	0
2017/03/28	1044	1045	1068	1016	8000000	-0.07	0
2017/03/27	1045	969	1049	962	9126000	7.81	0
2017/03/26	969	966	1004	947	8533000	0.32	0
2017/03/25	966	940	996	890	12705000	2.83	0
2017/03/24	940	1035	1038	927	13260000	-9.21	0
2017/03/23	1035	1045	1063	1022	5652000	-0.93	0
2017/03/22	1045	1121	1122	998	11529000	-6.83	0
2017/03/21	1121	1048	1126	1044	9259000	7.04	0
2017/03/20	1048	1023	1058	1005	6143000	2.44	0
2017/03/19	1023	971	1064	967	10645000	5.27	0
2017/03/18	971	1072	1104	940	21042000	-9.36	0
2017/03/17	1072	1173	1175	1064	16374000	-8.63	0
2017/03/16	1173	1253	1260	1119	13277000	-6.43	0
2017/03/15	1253	1243	1257	1236	4359000	0.83	0
2017/03/14	1243	1238	1256	1218	4514000	0.40	0
2017/03/13	1238	1225	1246	1206	6046000	1.07	0
2017/03/12	1225	1179	1236	1161	4441000	3.89	0
2017/03/11	1179	1112	1203	1105	7075000	6.01	0
2017/03/10	1112	1191	1330	989	19047000	-6.63	0
2017/03/09	1191	1147	1207	1129	5986000	3.87	0
2017/03/08	1147	1233	1242	1137	9788000	-6.95	0
2017/03/07	1233	1277	1281	1149	8772000	-3.47	0
2017/03/06	1277	1271	1281	1261	3103000	0.46	0
2017/03/05	1271	1264	1273	1242	2543000	0.55	0
2017/03/04	1264	1283	1286	1229	3842000	-1.48	0
2017/03/03	1283	1256	1291	1251	6728000	2.22	0
2017/03/02	1256	1223	1287	1212	7849000	2.68	0
2017/03/01	1223	1189	1225	1155	5115000	2.81	0
2017/02/28	1189	1189	1208	1176	5058000	0.04	0
2017/02/27	1189	1172	1196	1164	3547000	1.47	0
2017/02/26	1172	1149	1178	1131	3077000	1.96	0
2017/02/25	1149	1177	1180	1116	4586000	-2.33	0
2017/02/24	1177	1172	1212	1092	10817000	0.39	0
2017/02/23	1172	1121	1182	1114	6574000	4.59	0
2017/02/22	1121	1119	1132	1095	4791000	0.13	0
2017/02/21	1119	1078	1123	1074	5705000	3.85	0
2017/02/20	1078	1049	1082	1041	3101000	2.73	0
2017/02/19	1049	1052	1057	1038	1795000	-0.32	0
2017/02/18	1052	1049	1063	1045	2536000	0.27	0
2017/02/17	1049	1032	1057	1026	4571000	1.69	0
2017/02/16	1032	1008	1040	1007	3808000	2.35	0
2017/02/15	1008	1008	1011	1000	2336000	-0.01	0
2017/02/14	1008	995	1014	987	3954000	1.30	0
2017/02/13	995	997	1008	975	3291000	-0.12	0
2017/02/12	997	1008	1008	993	1475000	-1.17	0
2017/02/11	1008	998	1014	984	2832000	1.07	0
2017/02/10	998	979	1006	947	6213000	1.91	0
2017/02/09	979	1056	1073	925	14675000	-7.25	0
2017/02/08	1056	1050	1069	1020	6515000	0.56	0
2017/02/07	1050	1025	1054	1020	3955000	2.43	0
2017/02/06	1025	1016	1031	1011	3202000	0.84	0
2017/02/05	1016	1032	1034	1004	3106000	-1.53	0
2017/02/04	1032	1013	1041	1000	3946000	1.86	0
